iter	RMSE
0	14.49644051
1	14.12792365
2	13.68510482
3	13.23234496
4	12.80197264
5	12.42367824
6	12.09340141
7	11.72685908
8	11.38643947
9	11.05122015
10	10.73674709
11	10.42512858
12	10.14664883
13	9.918281916
14	9.647026634
15	9.430299766
16	9.20697434
17	8.977210051
18	8.785575563
19	8.588538324
20	8.443915926
21	8.274931209
22	8.10400435
23	7.955118416
24	7.798981291
25	7.646634077
26	7.518441017
27	7.388551829
28	7.261143008
29	7.150917234
30	7.033914012
31	6.922367967
32	6.817309217
33	6.727990218
34	6.632477801
35	6.566900697
36	6.486711544
37	6.403100688
38	6.347224469
39	6.277528325
40	6.208721144
41	6.147535629
42	6.093842352
43	6.038130172
44	5.991332082
45	5.928977856
46	5.882048717
47	5.84292704
48	5.803646224
49	5.770323385
