iter	Passed	Remaining
0	151	7415
1	153	3691
2	156	2445
3	158	1822
4	162	1459
5	164	1207
6	167	1031
7	170	895
8	174	793
9	176	707
10	179	636
11	182	579
12	186	530
13	189	486
14	191	447
15	195	414
16	197	382
17	199	355
18	201	329
19	204	306
20	206	284
21	208	265
22	210	247
23	213	231
24	215	215
25	218	201
26	221	188
27	223	175
28	225	163
29	227	151
30	230	141
31	232	130
32	234	120
33	236	111
34	238	102
35	238	92
36	240	84
37	241	76
38	242	68
39	243	60
40	244	53
41	245	46
42	247	40
43	248	33
44	249	27
45	250	21
46	252	16
47	253	10
48	255	5
49	256	0
