iter	Passed	Remaining
0	133	133212
1	135	67495
2	137	45785
3	139	34670
4	141	28157
5	144	23930
6	146	20797
7	148	18407
8	151	16627
9	154	15269
10	156	14114
11	159	13101
12	161	12248
13	163	11514
14	165	10887
15	167	10303
16	170	9850
17	172	9418
18	174	8990
19	176	8651
20	177	8291
21	178	7950
22	180	7684
23	182	7420
24	183	7156
25	184	6907
26	185	6675
27	186	6467
28	187	6261
29	188	6085
30	189	5909
31	190	5760
32	191	5603
33	192	5476
34	194	5349
35	195	5230
36	196	5123
37	198	5027
38	199	4920
39	200	4813
40	201	4713
41	202	4615
42	203	4522
43	204	4441
44	205	4357
45	206	4275
46	206	4194
47	207	4116
48	208	4041
49	208	3970
50	210	3909
51	210	3843
52	211	3779
53	212	3718
54	213	3661
55	213	3606
56	214	3551
57	215	3500
58	216	3448
59	216	3397
60	217	3347
61	218	3299
62	218	3252
63	219	3207
64	219	3163
65	220	3120
66	221	3079
67	221	3040
68	222	3003
69	223	2966
70	224	2931
71	224	2896
72	225	2862
73	226	2829
74	226	2798
75	227	2770
76	228	2738
77	229	2708
78	229	2678
79	230	2649
80	230	2620
81	231	2592
82	231	2561
83	232	2534
84	233	2509
85	233	2484
86	234	2459
87	235	2435
88	235	2412
89	236	2388
90	236	2365
91	237	2343
92	238	2321
93	238	2301
94	239	2281
95	240	2262
96	240	2242
97	241	2223
98	242	2203
99	242	2184
100	243	2166
101	244	2148
102	244	2130
103	245	2113
104	245	2096
105	246	2080
106	247	2063
107	247	2048
108	248	2031
109	249	2016
110	249	2001
111	250	1986
112	251	1971
113	251	1956
114	252	1942
115	253	1928
116	253	1913
117	254	1902
118	255	1890
119	256	1879
120	257	1867
121	257	1854
122	258	1842
123	259	1829
124	259	1817
125	260	1805
126	260	1792
127	261	1781
128	262	1769
129	262	1758
130	263	1746
131	264	1736
132	264	1725
133	265	1714
134	265	1703
135	266	1693
136	267	1682
137	267	1672
138	268	1662
139	269	1653
140	270	1645
141	270	1635
142	271	1626
143	272	1619
144	273	1610
145	273	1601
146	274	1591
147	274	1582
148	275	1573
149	276	1568
150	277	1559
151	278	1551
152	278	1542
153	279	1534
154	279	1526
155	280	1518
156	281	1509
157	281	1501
158	282	1494
159	283	1487
160	283	1478
161	284	1471
162	285	1464
163	285	1457
164	286	1450
165	287	1442
166	287	1435
167	288	1428
168	289	1421
169	289	1414
170	290	1407
171	291	1401
172	291	1394
173	292	1387
174	292	1380
175	293	1374
176	294	1367
177	294	1362
178	295	1355
179	296	1349
180	296	1343
181	297	1336
182	298	1331
183	299	1327
184	300	1322
185	301	1318
186	302	1313
187	303	1308
188	304	1304
189	305	1300
190	305	1295
191	306	1289
192	307	1284
193	307	1279
194	308	1273
195	309	1268
196	309	1262
197	310	1257
198	311	1251
199	311	1246
200	312	1241
201	312	1236
202	313	1232
203	314	1228
204	315	1224
205	316	1219
206	317	1214
207	317	1209
208	318	1206
209	319	1202
210	320	1197
211	320	1193
212	321	1188
213	322	1183
214	322	1178
215	323	1173
216	324	1169
217	324	1164
218	325	1160
219	325	1155
220	326	1151
221	327	1147
222	328	1143
223	328	1139
224	329	1134
225	330	1130
226	331	1127
227	331	1123
228	332	1119
229	333	1115
230	333	1111
231	334	1107
232	335	1103
233	335	1099
234	336	1094
235	337	1092
236	338	1088
237	338	1084
238	339	1080
239	339	1076
240	340	1072
241	341	1068
242	341	1065
243	342	1061
244	344	1060
245	344	1057
246	345	1053
247	346	1050
248	347	1046
249	347	1042
250	348	1039
251	348	1035
252	349	1031
253	350	1028
254	350	1024
255	351	1020
256	351	1017
257	352	1013
258	353	1010
259	353	1006
